title,address,district,city,description,area,bedroom,bathroom,price,price_change,house_direction,balcony_direction,legal_paper,furniture,coor
"Đừng bỏ lỡ căn hộ giá rẻ nhất ngay trung tâm quận Thanh Xuân! 3,X tỷ - 2PN, 2VS 83m2 - Golden West","['Dự án Golden West', 'Phố Lê Văn Thiêm', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,"+ Thiết kế 2 ngủ - 2VS - 1 ban công - 1 logia - 1 bếp - 1 logia.+ Khu vực an ninh, cách đường Lê Văn Lương 50m, cách Royal City 800m, gần chợ Nhân Chính, gần trường học, bệnh viện, nhà hàng, cafe, rạp chiếu phim, shops...+ Bảo vệ tòa nhà 24/7. Có thẻ từ/khóa vân tay/khóa pin.+ Gia lộc lấy may - Pháp lý minh bạch.Tiện ích nội khu: Sân chơi, siêu thị, nhà hàng cafe...Thiện chí bán nên giá giảm cực sâu.- Cam kết tư vấn nhiệt tình, trung thực, không chênh, không phí khi xem nhà, xem thoải mái không mua em cũng cám ơn vui vẻ ạ.- Em Sơn chuyên chung cư ở ngay khu Thanh Xuân, Hà Đông, Cầu Giấy.Cám ơn a/c đã xem tin.A/c lưu số em khi cần tìm khu vực này nhé.LH: 0867 551 *** * nhận ảnh + video thật.",83.0,2 phòng,2 phòng,,51.6,Đông - Nam,Đông - Nam,,Cơ bản,20.993579864502 105.798210144043
"Em bán căn 98m2 3PN 2VS hướng nam tầng cao, sẵn sổ đỏ, có slot ô tô, cam kết không báo chênh báo ảo","['Bamboo Airways Tower', '265', 'Đường Cầu Giấy', 'Phường Dịch Vọng']",Cầu Giấy,Hà Nội,"Thông tin căn hộ như sau:- Căn hộ diện tích 98m² gồm 3PN2wc. Để lại full nội thất, có sổ đỏ, có slot oto, giá 7,2 tỷ có thương lượng. Liên hệ em DUY để xem nhà trực tiếp và tư vấn miễn phí 24/7.* Các căn đang có để quý khách hàng tham khảo:Căn số 1:- Diện tích 125m² gồm 3PN 2VS.- Tầng cao view thoáng mát.- Nhà cơ bản đồ liền tường.- Có sổ đỏ, có slot ô tô.- Chủ nhà thiện chí bán. Giá 67tr/m² có TL nhẹ.Căn số 2: (Hàng Hot).- Diện tích 125m² gồm 3PN2VS.- Tầng cao view Hồ Tây.- Để lại full nội thất.- Có sổ đỏ, có slot oto.- Giá 8,4tỷ.* Căn số 3: Diện tích 98m² trục 03 Đông Nam tầng cao giá 6,3 tỷ có slot ô tô, có sổ đỏ.* Căn số 4: Trục 08 diện tích 95,5m² giá rẻ nhất thị trường. Giá 65tr/m², có alo ô tô có sổ đỏ.Cam kết không báo chênh báo ảo, giao dịch trực tiếp chủ nhà,- Liên hệ em Duy 0967 537 *** zalo để xem nhà.",125.0,3 phòng,2 phòng,,40.0,,Đông - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản,21.0344982147217 105.795516967773
"Gia đình chuyển sang căn 3pn nên bán gấp 2pn 2wc 67m2 giá 4,3tỷ full nội thất hướng mát, tầng cao","['Dự án Chung cư Ban cơ yếu Chính phủ', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,"Do chuyển trường cho con đi học mình cần bán nhanh.Mình cần bán nhanh căn hộ 67m, 2PN, 2WC dự án Ban Cơ Yếu Chính Phủ Lê Văn Lương.Giá bán 4,3 tỷ.",67.0,2 phòng,2 phòng,4.3,58.4,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,20.993579864501953 105.79821014404297
"Bán gấp The Nine Phạm Văn Đồng-Cầu Giấy. DT 81m2 2 ngủ, đầy đủ nội thất siêu đẹp. Giá thật: 5,9 tỷ","['The Nine', '9', 'Đường Phạm Văn Đồng', 'Phường Mai Dịch']",Cầu Giấy,Hà Nội,"Do con đi du học nên gia đình tôi cần bán căn hộ tại dự án The Nine Phạm Văn Đồng, cháu ở 1 mình nhà rất mới, nội thất làm rất tâm huyết, ở giữ gìn, cần tìm chủ mới. Cụ thể:- Địa chỉ: 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội.- Diện tích 81m, 2 ngủ, 2 vệ sinh.- Để lại đầy đủ nội thất mới đẹp, chủ ở rất giữ gìn.- Hướng cửa Tây Nam, ban công Đông Bắc.- Cam kết giá thật: 5,9tỷ.- Có ra lộc cho KH thiện chí.- Sẵn sổ.- Có slot ô tô.- Liên hệ: Thùy Trang 0963 930 ***",81.0,2 phòng,2 phòng,5.9,16.8,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0404415130615 105.780715942383
Gia đình cần bán căn hộ 3PN chung cư Imperia Garden - sổ đỏ chính chủ,"['Dự án Imperia Garden', 'Đường Nguyễn Huy Tưởng', 'Phường Thanh Xuân Trung']",Thanh Xuân,Hà Nội,"Chuyển xuống liền kề nên giá đình cần nhượng lại căn hộ sau:- Diện tích: 97m².- Thiết kế 3 PN, 2 vệ sinh, phòng khách, bếp, ban công, logia.- Nhà đầy đủ nội thất còn mới đẹp.Giá: 6.5 tỷ có bớt.LH: 0986 644 ***",97.0,3 phòng,2 phòng,6.5,30.4,,,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất.,20.997276306152344 105.80298614501953
"Siêu hời, căn 1N+1, 47m2 nội thất cao cấp chỉ 1.85 tỷ tại Vinhomes Ocean Park Gia Lâm","['Dự án Vinhomes Ocean Park Gia Lâm', 'Xã Dương Xá']",Gia Lâm,Hà Nội,"Thông tin chi tiết:+ Diện tích: 47m².+ Thiết kế: 2 phòng ngủ, 1 nhà vệ sinh, phòng khách, bếp, ban công, lô gia...+ Full nội thất.+ Tầng trung, view thoáng đẹp.+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 1.85 tỷ (Không bao phí).* Tiện ích:+ Được hưởng free toàn bộ tiện ích: Bể bơi bốn mùa, ngoài trời, sân chơi trẻ em, sân thể thao bóng đá, bóng bàn, bóng rổ, cầu lông, tennis,...+ Cực kỳ thuận tiện cho các cháu bé đi học trong khu, dễ dàng đăng ký các suất học mới.+ Liên hệ ngay cho em để được tư vấn cụ thể: 0984 678 ***Xem nhà 24/7).",47.0,2 phòng,1 phòng,1.85,31.3,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,21.0024147033691 105.964111328125
"Quỹ căn đợt cuối siêu ưu đãi từ CĐT Moonlight 1 căn 2PN, 3PN liên hệ ngay: 0363 985 ***","['Dự án Moonlight 1 - An Lạc Green Symphony', 'Xã An Khánh']",Hoài Đức,Hà Nội,"* Tổng quan Moonlight 1 - An Lạc Green Symphony.An Lạc Green Symphony là quần thể đô thị đáng sống nhất phía Tây Thủ Đô nằm trên mặt đường vành đai 3,5 do Công ty Cổ phần Tập đoàn Đầu tư An Lạc làm chủ đầu tư. Chung cư Moonlight 1 được xây trên khu đất hơn 6000m nằm trong lõi đô thị trên trục đại lộ Ánh Trăng 58m, bao gồm 2 block A, B cao 21 tầng nổi và 2 tầng hầm với 494 căn hộ cao cấp, diện tích mỗi căn từ 66,44m - 95,19m. Nội thất bàn giao full nhập khẩu cao cấp. Liên hệ: 0363 985 ***nhận báo giá quỹ căn đợt 2 siêu đẹp).* Giá bán:- Căn hộ 2PN 2WC giá từ 3,7 tỷ.- Căn hộ 2PN + 1 Đa Năng 2 WC giá từ 4,7 tỷ.- Căn hộ 3PN 2WC giá từ 5,3tỷ.* Tiến độ.- Đã và đang bàn giao cho cư dân.* Chính sách bán hàng:- Chiết khấu tới 9% trên tổng giá với khách hàng thanh toán sớm 95%.- Tặng quà Tân Gia lên đến 100 triệu.- Miễn phí 2 năm phí dịch vụ.- Hỗ trợ vay miễn gốc lãi đến 18 tháng.* Vị trí.- Quần thể đô thị An Lạc Green Symphony nằm trên mặt đường vành đai 3.5 đối diện với khu đô thị Vinhomes Smart City.- Cách Sân Vận Động Mỹ Đình 6 phút di chuyển.- Cách Go Market Thăng Long 10 phút di chuyển.- Cách trung tâm Thanh Xuân 12 phút di chuyển.- Cách trung tâm Cầu Giấy 15 phút di chuyển.- Cách trung tâm Đống Đa 17 phút di chuyển.* Tiện ích:- Nằm trong quần thể đô thị cao cấp An Lạc Green Symphony, chung cư Moonlight I thừa hưởng vô vàn tiện ích của khu đô thị có mật độ cây xanh, mặt nước cao nhất khu vực phía Tây Hà Nội. Cư dân sinh sống tại chung cư Moonlight I cũng được dành riêng 40 ++ tiện ích đặc quyền theo tiêu chuẩn khách sạn 5 sao được tích hợp trong tòa nhà và khu đô thị.LH: Phòng kinh doanh CĐT 0363 985 ***nhận báo giá và thông tin quỹ căn đợt cuối).",67.0,2 phòng,2 phòng,3.7,37.0,,,Sổ đỏ/ Sổ hồng,Cơ bản,21.024394989013672 105.72908782958984
"Bán gấp căn hộ 2PN tại Royal City, 130m2, tòa R1, giá: 7.8 tỷ, LH: 0365 691 ***","['Dự án Royal City', 'Đường Nguyễn Trãi', 'Phường Thượng Đình']",Thanh Xuân,Hà Nội,"Bán nhanh căn hộ tại tòa R1 Royal City - Nguyễn Trãi.+ Diện tích: 130m², thiết kế: 2PN + 2WC, giá chỉ: 7.8 tỷ.+ Ban công Đông Nam, hướng mát, view đẹp.Khách hàng quan tâm vui lòng liên hệ.Mr. Hoàng: 0365 691 ***.Để được đến xem trực tiếp căn hộ.",130.0,2 phòng,2 phòng,7.8,45.2,,Đông - Nam,Sổ đỏ/ Sổ hồng,,21.0026664733887 105.8154296875
Bán căn penthouse Mipec LB 228m2 4PN3VS view sông giá 16tỷ BP sổ đỏ CC,"['Dự án Mipec Riverside', 'Đường Long Biên', 'Phường Ngọc Lâm']",Long Biên,Hà Nội,"Bước vào cuộc sống đẳng cấp với căn penthouse duplex 228m² tại Mipec Long Biên, với view sông Hồng tuyệt đẹp.- Diện tích rộng lớn 228m², 4 phòng ngủ, 3 vệ sinh, đầy đủ không gian cho gia đình thư thả.- Giá cực kỳ hấp dẫn: Chỉ 16tỷ bao phí.- Sổ đỏ lâu dài, sẵn sàng chuyển nhượng.- Tiện ích đẳng cấp ngay tại dự án: Rạp chiếu phim CGV, trung tâm thương mại, Khu văn phòng, Phòng tập gym, yoga, Zumba,... Đều mang đến trải nghiệm sống hoàn hảo.- Vị trí đắc địa tại quận Long Biên, chỉ cách trung tâm Hà Nội và khu phố cổ chỉ trong nháy mắt, thông qua cầu Long Biên và Chương Dương.",228.0,4 phòng,3 phòng,16.0,40.6,,,Sổ đỏ/ Sổ hồng.,Đầy đủ,21.0457458496094 105.86637878418
Nóng hơn nước sôi - Quỹ căn tầng đẹp cuối cùng CC Moonlight 1,"['Dự án Moonlight 1 - An Lạc Green Symphony', 'Đường 70', 'Xã An Khánh']",Hoài Đức,Hà Nội,"Sự bùng nổ những quỹ căn cuối cùng dự án Moonlight1 - nhận nhà ở luôn.KĐT An Lạc Green Symphony.Không gian sống xanh - sạch - đẹp.Mở bán đợt cuối tầng 15 - 18 - 20 - 21.Diện tích linh hoạt:- Căn 2PN: 66m² - 73m², từ 1.1 tỉ nhận nhà.- Căn 2PN +: 80m², từ 1.2 tỉ nhận nhà.Chính sách hấp dẫn nhất thị trường:- Chiết khấu 9%.- Hỗ trợ vay 65% miễn gốc lãi 18 tháng.- Miễn 2 năm phí dịch vụ.- Tặng gói nội thất cao cấp 35 - 100 triệu.Hotline: 0919 912 ***",66.68,2 phòng,1 phòng,3.6,37.0,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,21.024394989013672 105.72908782958984
"PKD Heritage West Lake tổng hợp quỹ SOHO, 2-3-4PN duplex, pent sở hữu lâu dài view Hồ Tây, giá tốt","['Heritage West Lake', '677', 'Đường Lạc Long Quân', 'Phường Phú Thượng']",Tây Hồ,Hà Nội,"PKD Capitaland dự án Heritage West Lake tổng hợp quỹ căn 2 - 3 - 4PN duplex, pent sở hữu lâu dài view Hồ Tây, giá tốt nhất thị trường có cam kết lot đỗ ô tô.Hiện tại dự án đã cất nóc và đang hoàn thiện dự kiến bàn giao Q3/2024.Gọi ngay hotline PKD 24/7: 0975 011 ***em Tú) Zalo, Viber để nhận thông tin, tham quan dự án và nhà mẫu.* Căn hộ Penthouse Duplex view trọn Hồ Tây và thành phố ký trực tiếp CĐT Capitaland.DT: 327m².+ Tầng 1: 191.2m².+ Tầng 2: 136,5m².- 5 phòng ngủ 5 vệ sinh.* Căn Duplex tầng cao view Hồ Tây.DT: 267m² (Duplex thông tầng).Layout: 4 phòng ngủ + 4 vệ sinh.Hướng view: Ôm trọn Hồ Tây + sông Hồng, cầu Nhật Tân.* Đặc biệt 2 căn hộ 3PN tầng trung view trực diện hồ Tây duy nhất đang chuyển nhượng.1. Căn góc số 03 150m² 2 ban công ĐN - ĐB view Lotte Mall và hồ Tây giá gốc 17,5 tỷ.2. Căn hộ 3PN tầng trung view trực diện hồ Tây giá gốc 17,2 tỷ.3. Căn góc 06 180m² 4PN hướng Đông nam view vườn mê cung và vườn hoa vườn Đào giá gốc 16,8 tỷ.4. Cặp căn 2PN đập thông cực hiếm hoặc có thẻ bán lẻ.5. Quỹ căn Soho giá ngoại giao cực tốt diện tích 42 - 54 - 88m².- Căn 2PN DT 93m² giá từ 8 tỷ.- Căn 3PN DT 145m² - 150m² giá từ 13,6 tỷ.- Căn 4PN DT 180m² giá từ 18 tỷ.- Quỹ căn SOHO chỉ từ 3 tỷ đóng 20% nhận nhà.Căn hộ Heritage West Lake ~ mang cả Hồ Tây vào căn hộ của bạn.Add: 677 Lạc Long Quân, Tây Hồ, Hà Nội.CĐT: Capitaland - Singapore.Mỗi trục căn hộ - một cầu thang máy riêng biệt.Full nội thất 5*: PoggenPohl; Gaggenau; Gessi; Smeg.173 căn dinh thự trên không - View full Hồ Tây.Dự kiến quý III/2024 bàn giao.Quý khách hàng xin vui lòng gọi Hotline PKD 24/7: 0975 011 ***em Tú) Zalo, Viber để nhận thông tin, tham quan dự án và nhà mẫu.Cảm ơn quý khách hàng đã đọc tin!",145.0,3 phòng,,13.6,5.0,,,,,21.0728492736816 105.812431335449
4.3 tỷ căn 78m2 chung cư Five Star Kim Giang - Sổ đỏ chính chủ,"['Dự án Five Star Kim Giang', 'Đường Kim Giang', 'Phường Kim Giang']",Thanh Xuân,Hà Nội,"Bán căn hộ Five Star Kim Giang.- Diện tích: 78m².- Thiết kế 2PN, 2 vệ sinh, PK, bếp, 2 ban công.- Nội thất: Full đồ đẹp: Giường, tủ quần áo, tủ giày, sofa, tủ bếp, đều hoà, nóng lạnh.Giá: 4.3 tỷ.LH: 0986 644 ***",78.0,2 phòng,2 phòng,4.3,23.2,,,Sổ đỏ/ Sổ hồng,"Giường, tủ quần áo, tủ giày, sofa, tủ bếp, đều hoà, nóng lạnh.",20.986000061035156 105.81218719482422
"Duy nhất! Suất ngoại giao CH 3pn, 101,2m2, BC Tây Nam, view ĐL Thăng Long. CK gần 500tr. Giá 6.x tỷ","['Dự án Summit Building', 'Đường Trần Duy Hưng', 'Phường Trung Hòa']",Cầu Giấy,Hà Nội,"+ Do không có nhu cầu sử dụng nên gia đình tôi có nhu cầu bán lại.+ Căn hộ 3pn, diện tích 101.2m². Thiết kế 3pn thoáng đẹp, với hệ kính Low E sát chân tường, chống rung, chống ồn và giảm nhiệt, chống tia UV.+ Bàn giao full nội thất cao cấp: Điều hòa âm trần, sàn gỗ, bếp và tủ bếp trên dưới của Hafele, thiết bị vệ sinh Kohler.+ Ký Hợp đồng trực tiếp với chủ đầu tư:+ CK 5% thanh toán sớm.+ CK 3% thanh toán theo tiến độ.+ Hỗ trợ lãi suất 0% của 65% giá trị căn hộ trong 12 tháng.+ Ngoài ra còn tặng thêm quà tặng 200tr nội thất, 50tr mùa thu vàng.+ Chiết khấu thêm 1% khi khách hàng mua từ căn thứ 2 trở lên.+ Miễn phí 1 năm phí dịch vụ tới 31/12/2025.Liên hệ trực tiếp: Ms. Linh: 0963 416 *** để xem căn hộ.",101.2,3 phòng,2 phòng,,4.2,Đông - Bắc,Tây - Nam,Hợp đồng mua bán,Đầy đủ,21.0082607269287 105.796043395996
Bán gấp căn góc vip 3 phòng ngủ 2 mặt thoáng view 2 hồ căn số 01 trục căn hiếm đã hết ở 93 Láng Hạ,"['Dự án Green Diamond 93 Láng Hạ', 'Phố Láng Hạ', 'Phường Láng Hạ']",Đống Đa,Hà Nội,"Chủ nhà nhượng lại căn góc 3 ngủ thương mại vip dự án 93 Láng Hạ.- Căn số 01 (trục căn hiếm không có trên bảng hàng).- Diện tích thông thủy 138m².- Thiết kế 3 phòng ngủ, 2 WC.- Hai ban công dài Đông Bắc view Hồ Hoàng Cầu, Tây Bắc view hồ Thành Công.- Có sẵn 1 slot ô tô, 2 xe máy.Liên hệ xem nhà: 0979 278 ***",138.0,3 phòng,2 phòng,,22.2,,,,,21.0168266296387 105.815223693848
Chính chủ bán căn hộ 2PN view hồ. Chung cư Eco Lake View. Giá: 3 tỷ 6,"['Dự án Eco Lake View', 'Đường Đại Từ', 'Phường Đại Kim']",Hoàng Mai,Hà Nội,Chuyển lên căn 3N. Gia đình cần bán căn hộ 2N2VS:+ DT 74m². View trực diện hồ Linh Đàm.+ Cửa Đông Bắc.NT để lại cho khách.Sổ cầm tay. Hỗ trợ khách vay bank.Khách thiện chí liên hệ xem nhà: 0866 755 ***MTG).,74.0,2 phòng,2 phòng,3.6,31.7,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,20.9730930328369 105.838371276855
Tôi chính chủ bán căn hộ 3PN hướng mát tại Eco Lake View. Giá 4 tỷ,"['Dự án Eco Lake View', 'Đường Đại Từ', 'Phường Đại Kim']",Hoàng Mai,Hà Nội,"Chuyển sang mặt đất. Gia đình tôi cần sang nhượng lại căn góc 3PN tại Eco Lake View:+ Hướng mát.+ Sổ cầm tay. Hỗ trợ khách vay NH.+ Nội thất mới. Nhà sạch sẽ rất giữ gìn.Chi tiết LH qua SĐT: 0866 755 ***Zalo, Call).",91.0,3 phòng,2 phòng,4.0,31.7,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng.,Đầy đủ.,20.9730930328369 105.838371276855
Chính chủ bán căn hộ 81m2 tại Eco Lake View. Giá 3 tỷ 850,"['Dự án Eco Lake View', 'Đường Đại Từ', 'Phường Đại Kim']",Hoàng Mai,Hà Nội,"Chuyển công tác. Mình cần bán căn 2 ngủ tòa H2 chung cư Eco Lake View.+ DT 81m². Thiết kế 2n2vs, logia.+ NT full để lại.Liên hệ: 0866 755 ***Zalo, Call).",81.0,2 phòng,2 phòng,3.85,31.7,Tây,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,20.9730930328369 105.838371276855
Chính chủ bán căn 74m2 tại Eco Lake View. Giá 3 tỷ 5. LH: 0866 755 ***,"['Dự án Eco Lake View', 'Đường Đại Từ', 'Phường Đại Kim']",Hoàng Mai,Hà Nội,Chính chủ cần bán căn hộ 2 phòng ngủ Eco Lake View:+ Diện tích 74m². Thiết kế 2N 2VS.+ View hồ Linh Đàm.+ NT để lại.Chi tiết liên hệ: 0866 755 ***,74.0,2 phòng,2 phòng,3.5,31.7,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,20.9730930328369 105.838371276855
"Bán căn góc 3PN2VS 100m2 chung cư EcoLakeview, view hồ. Giá 4tỷ7","['Dự án Eco Lake View', 'Đường Đại Từ', 'Phường Đại Kim']",Hoàng Mai,Hà Nội,"Chuyển công tác gia đình tôi cần bán căn hộ 3 phòng ngủ tại chung cư EcoLakeView Đại Từ, Hoàng Mai.+ Thiết kế 3PN 2VS và 2 logia riêng biệt.+ Căn góc 2 mặt thoáng, các cửa sổ đều có ánh sáng. View nhìn ra hồ Linh Đàm.Chi tiết liên hệ: 0866 755 ***",103.0,3 phòng,2 phòng,,31.7,,,Sổ đỏ/ Sổ hồng.,Cơ bản.,20.9730930328369 105.838371276855
"Hot! Nhượng lại nhanh căn góc vip 3 ngủ DT 141m2 tầng cao, ban công rộng view Hồ","['Dự án Green Diamond 93 Láng Hạ', 'Phố Láng Hạ', 'Phường Láng Hạ']",Đống Đa,Hà Nội,"Do không có nhu cầu, khách hàng chuyển lại căn góc chung cư Green Diamond 93 Láng Hạ.Căn góc 3 ngủ DT 141m² trên thị trường đã hết căn bán.- Gồm 3 phòng ngủ, 1 đa năng, 1 kho, 2 WC.- Ban công Đông Nam view hồ Hoàng Cầu.- Nội thất nguyên bản căn thương mại.- Tầng 20.- Có sẵn 1 slot để oto.Liên hệ: 0936 362 ***",141.0,3 phòng,2 phòng,,22.2,,,,,21.016826629638672 105.81522369384766
"Bán căn 2 ngủ vip nhất dự án 2 ban công view trọn 2 hồ Thành Công, Hoàng Cầu giá siêu tốt","['Dự án Green Diamond 93 Láng Hạ', 'Phố Láng Hạ', 'Phường Láng Hạ']",Đống Đa,Hà Nội,Nhu cầu đổi căn lớn hơn khách cần nhượng lại căn hộ 2 ngủ:- Thông thủy 92 m² thiết kế 2 ngủ 2 vệ sinh.- Đặc biệt có tới 2 ban công dài view trọn hồ Thành Công vs hồ Hoàng Cầu.- Nội thất cơ bản tiêu chuẩn chủ đầu tư.- Giá tốt: 9 tỷ.Liên hệ: 0936 362 ***,92.0,2 phòng,2 phòng,9.0,22.2,,,,Nội thất cơ bản tiêu chuẩn chủ đầu tư.,21.0168266296387 105.815223693848
4.6 tỷ/căn 2 PN full nội thất chung cư The Legend - Nguyễn Tuân,"['Dự án Legend Tower 109 Nguyễn Tuân', 'Đường Nguyễn Tuân', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,"Bán căn hộ The Legend.- Diện tích: 70m².- Thiết kế 2 PN, 2 vệ sinh, PK, bếp.- Căn hộ vuông vắn, ở có lộc.- Nội thất: Full: Giường, tủ, sofa, tủ bếp, thiết bị bếp, điều hoà, nóng lạnh..Giá: 4.6 tỷ.LH: 0986 644 ***",70.0,2 phòng,2 phòng,4.6,18.2,,,Sổ đỏ/ Sổ hồng,"Giường, tủ, sofa, tủ bếp, thiết bị bếp, điều hoà, nóng lạnh.",21.004613876342773 105.8040771484375
"Căn góc 102m2-3N2W dự án GoldSeason 47 Nguyễn Tuân - full NT, slot oto. Giá: 6.8 tỷ sổ đỏ lâu dài","['GoldSeason', '47', 'Đường Nguyễn Tuân', 'Phường Thanh Xuân Trung']",Thanh Xuân,Hà Nội,"Gia đình tôi cần bán lại căn hộ 3 phòng ngủ tại chung cư GoldSeason 47 Nguyễn Tuân, Thanh Xuân - HN.- Diện tích: 102m².- Thiết kế: 03 ngủ + 02WC + 01 bếp + 01 ban công, 01 logia.- Nội thất cơ bản.- Nhà có slot oto.Giá bán 6.8 tỷ đã có sổLiên hệ chính chủ: 0966 198 *** MTG.",102.0,3 phòng,2 phòng,6.8,34.3,Đông - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,20.994772 105.80613
"Giá chuẩn! Căn hộ Trung Hòa Nhân Chính - vị trí tiện lợi - TT Cầu Giấy - 75,4 m2 * 3 PN + 2VS","['Dự án Trung Hòa Nhân Chính', 'Đường Lê Văn Lương', 'Phường Trung Hòa']",Cầu Giấy,Hà Nội,"Căn hộ Trung Hòa Nhanh Chính - trung tâm Quận Cầu Giấy - Thanh Xuân - Mặt đường Lê Văn Lương - vị trí đi lại thuận tiện.Mô tả:+ Nằm tại mặt đường Lê Văn Lương, Cầu Giấy và Thanh Xuân, Hà Nội.+ Thiết kế 3 phòng ngủ, 2 vệ sinh.+ Thiết kế cực đẹp, chủ hoàn thiện toàn đồ xịn sò. Để lại 80% nội thất. Vào nhà cực đẹp, vượng khí, mùa hè mát mẻ, mùa đông ấm áp.+ Diện tích sổ đỏ 75,4 m².+ Sổ đỏ lâu dài.+ Giá chỉ 4,5 tỷ để sở hữu 1 căn hộ Trung Hòa Nhân Chính siêu tiện ích.Liên hệ (call/zalo/mess) 0902 829 *** Đông.",75.4,3 phòng,2 phòng,4.5,42.8,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản,21.0083656311035 105.802909851074
"Căn góc 123m2 - tầng đẹp 3N2W cc Thống Nhất 82 Nguyễn Tuân, full nội thất. Giá 6.95tỷ sổ đỏ lâu dài","['Thống Nhất Complex', '82', 'Đường Nguyễn Tuân', 'Phường Thanh Xuân Trung']",Thanh Xuân,Hà Nội,"Vợ chồng mình cần nhượng lại căn 3 ngủ ở tầng 12 toà A Thống Nhất Complex - 82 Nguyễn Tuân - Thanh Xuân - HN.- Diện tích thông thủy: 123m².- Thiết kế: 03 ngủ + 02 vệ sinh + 01 ban công + 01 logias.- Để lại nt cho gia chủ mới, trừ đồ điện tử.- Pháp lý: Sổ đỏ chính chủ.Giá bán: 6.95 Tỷ.Liên hệ chính chủ: 0966 198 ***",123.0,3 phòng,2 phòng,6.95,21.0,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,20.998047 105.80354
"Tôi chính chủ bán căn 3 ngủ Booyoung, giá mong muốn 4,79 tỷ, miễn trung gian làm phiền","['Dự án Booyoung', 'Phường Mỗ Lao']",Hà Đông,Hà Nội,"Gia đình em có căn hộ không sử dụng 3 phòng ngủ tại tòa Booyoung bán lại cho gia đình nào có nhu cầu.Diện tích: 108 m², thoáng, các phòng đều có ánh sáng tự nhiên.Hướng cửa: Tây Bắc, 2 ban công: Đông Nam, Tây Nam.Thiết kế căn hộ: 3 phòng ngủ + 2 vệ sinh.Nội thất để lại toàn bộ: Giường, tủ, điều hoà, máy giặt, tủ giày, giá sách, bàn ăn... Cần tìm chủ mới chỉ cần xách vali về ở.Sổ đỏ chính chủ.Giá 4.79 tỷ.Liên hệ 0334 040 ***",108.0,3 phòng,2 phòng,4.79,28.0,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,20.983375549316406 105.78353118896484
Bán căn 1ngủ + 1 khu Lumiere 2.9Tỷ full NT trực tiếp CĐT - Vay 80% miễn lãi 3 năm. LH: 0989 094 ***,"['Dự án Lumiere EverGreen Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội.,"* Chủ đầu tư Masteise Homes lần đầu tiên đưa phân khúc Lumiere ra Hà Nội hứa hẹn là nơi an cư đẳng cấp của cư dân tinh hoa:- Vị trí tại toạ độ kim cương của đại đô thị Smart City, cạnh công viên, trường Liên cấp Vinschool.- Thiết kế mặt ngoài ấn tượng - tiên phong kiến tạo giá trị sống trường tồn và phong cách sống mang dấu ấn riêng, nơi không gian sống chạm đến sự hoàn mỹ của tiêu chuẩn chất lượng quốc tế.- Tiêu chuẩn bàn giao cao cấp full đồ nhập khẩu từ Đức, Mỹ, Italia,...: Kohler, Hafele, Gessi, Bosch (cao cấp hơn Masteri West Heights).- Tiện ích bậc nhất: Bể bơi nước nóng tầng, Phòng gym/game/trò chơi thực tế ảo, bể sục, Vườn nướng, sân tenis,... Dành riêng cho cư dân và miễn phí.* Siêu chính sách mở bán đợt 1 - dành cho 300 KH đặt mua đầu tiên:- Hỗ trợ vay 80% giá trị căn hộ.- Hỗ trợ lãi suất 0% 4 năm, ân hạn gốc 4 năm.- Thanh toán tiến độ cực giãn đến tháng 5/2027.- Thanh toán sớm chiết khấu 15,3%.- Tặng 36 tháng phí dịch vụ.* Các loại căn hộ:- Căn studio (37m²): Từ 2,2x tỷ.- Căn 1 ngủ (46 - 51m²): Từ 2,9x tỷ.Để biết chi tiết bảng giá, chính sách khi mua căn hộ và chính sách trả góp quý khách vui lòng liên hệ hotline phòng KD dự án: 0989 094 ***",46.0,1 phòng,1 phòng,2.9,0.0,,,,Cơ bản.,21.0062160491943 105.736473083496
